Description,Latitude,Longitude
Ogden West,41.215959,-112.103657
Syracuse S,41.079441,-112.103657
Bountiful W,40.925529,-111.9
Magna,40.708252,-112.098628
Herriman,40.558186,-112.05
Eagle mtn,40.351826,-111.973331
SW bound,39.961038,-111.899029
SouthE bound,39.961038,-111.649065
Springville E,40.131198,-111.560151
Provo E,40.325105,-111.631769
Draper park,40.558186,-111.804803
Olympus cove,40.679787,-111.784015
Emigration,40.785142,-111.732042
Bountiful E,40.925529,-111.860557
Syracuse SE,41.079441,-111.88453
Ogden East,41.215959,-111.88453
